index,word,start_time,end_time,duration,filename
1,triangle,2.0653,2.9484,0.8831,CH_AW-1.wav
2,book,4.2453,4.7293,0.484,CH_AW-2.wav
3,cloud,5.9614,6.4404,0.479,CH_AW-3.wav
4,nun,7.7075,8.3261,0.6187,CH_AW-4.wav
5,spoon,9.9075,10.571,0.6636,CH_AW-5.wav
6,kitchen,12.9505,13.679,0.7284,CH_AW-6.wav
7,fork,15.405,16.0087,0.6037,CH_AW-7.wav
8,guitar,17.4603,18.059,0.5987,CH_AW-8.wav
9,scarf,20.0544,20.723,0.6686,CH_AW-9.wav
10,king,22.2793,22.9429,0.6636,CH_AW-10.wav
11,bin,24.5093,25.2128,0.7035,CH_AW-11.wav
12,cemetery,27.3628,27.8767,0.5139,CH_AW-12.wav
13,sun,32.6558,33.1298,0.474,CH_AW-13.wav
14,trophy,34.4517,35.1302,0.6785,CH_AW-14.wav
15,clown,36.3524,37.0559,0.7035,CH_AW-15.wav
16,chocolate,38.5224,39.2658,0.7434,CH_AW-16.wav
17,pregnant,41.1515,41.7252,0.5738,CH_AW-17.wav
18,ring,43.536,44.0549,0.5189,CH_AW-18.wav
19,broom,46.1501,46.7189,0.5688,CH_AW-19.wav
20,nurse,51.2485,51.8073,0.5588,CH_AW-20.wav
21,newspaper,53.8227,54.4314,0.6087,CH_AW-21.wav
22,drawer,56.4267,56.9905,0.5638,CH_AW-22.wav
23,zip,59.385,59.8989,0.5139,CH_AW-23.wav
24,hug,62.5877,63.1166,0.5289,CH_AW-24.wav
25,ambulance,65.2168,66.025,0.8083,CH_AW-25.wav
26,calendar,68.1351,68.674,0.5389,CH_AW-26.wav
27,moon,70.9687,71.4676,0.499,CH_AW-27.wav
28,robot,74.0467,74.8549,0.8083,CH_AW-28.wav
29,lemon,76.7156,77.4091,0.6935,CH_AW-29.wav
30,tree,80.1827,80.562,0.3792,CH_AW-30.wav
31,pear,82.8317,83.3057,0.474,CH_AW-31.wav
32,comb,85.4757,86.1044,0.6287,CH_AW-32.wav
33,chair,88.3492,88.9579,0.6087,CH_AW-33.wav
34,cherry,91.2576,91.8314,0.5738,CH_AW-34.wav
35,orange,94.1759,94.8295,0.6536,CH_AW-35.wav
36,balloon,96.9546,97.713,0.7584,CH_AW-36.wav
37,fruit,100.3519,100.9856,0.6337,CH_AW-37.wav
38,sofa,102.9759,103.7193,0.7434,CH_AW-38.wav
39,desert,105.8993,106.513,0.6137,CH_AW-39.wav
40,onion,109.2816,109.9901,0.7085,CH_AW-40.wav
41,pirate,112.8136,113.4522,0.6386,CH_AW-41.wav
42,pool,117.3084,118.1515,0.8432,CH_AW-42.wav
43,train,120.99,121.7134,0.7234,CH_AW-43.wav
44,lighthouse,124.1229,124.7615,0.6386,CH_AW-44.wav
45,oven,127.3954,128.1339,0.7384,CH_AW-45.wav
46,milk,133.756,134.2649,0.5089,CH_AW-46.wav
47,priest,137.1433,137.7869,0.6436,CH_AW-47.wav
48,battery,140.0766,140.8051,0.7284,CH_AW-48.wav
49,television,142.7705,143.5588,0.7883,CH_AW-49.wav
50,helicopter,145.4195,146.2726,0.8532,CH_AW-50.wav
51,glasses,149.136,149.7996,0.6636,CH_AW-51.wav
52,window,152.3388,152.9475,0.6087,CH_AW-52.wav
53,rope,155.2372,155.9456,0.7085,CH_AW-53.wav
54,teacher,158.2204,158.9089,0.6885,CH_AW-54.wav
55,ear,165.1097,165.6985,0.5888,CH_AW-55.wav
56,carrot,167.9782,168.6817,0.7035,CH_AW-56.wav
57,pill,171.0512,171.7398,0.6885,CH_AW-57.wav
58,neck,174.7279,175.2518,0.5239,CH_AW-58.wav
59,bike,178.3796,179.1679,0.7883,CH_AW-59.wav
60,tongue,181.9963,182.64,0.6436,CH_AW-60.wav
61,strawberry,184.8898,185.5783,0.6885,CH_AW-61.wav
62,pineapple,188.8458,189.4495,0.6037,CH_AW-62.wav
63,hanger,191.5846,192.1234,0.5389,CH_AW-63.wav
64,sock,194.3583,194.932,0.5738,CH_AW-64.wav
65,calculator,197.1619,197.9003,0.7384,CH_AW-65.wav
66,football,200.5093,201.2477,0.7384,CH_AW-66.wav
67,key,203.4476,204.0214,0.5738,CH_AW-67.wav
68,mirror,206.5555,207.1094,0.5538,CH_AW-68.wav
69,door,209.1646,209.6636,0.499,CH_AW-69.wav
70,lightning,211.7986,212.4323,0.6337,CH_AW-70.wav
71,statue,214.8617,215.4404,0.5788,CH_AW-71.wav
72,mask,218.1592,218.7429,0.5838,CH_AW-72.wav
73,tie,221.2272,221.8409,0.6137,CH_AW-73.wav
74,windmill,224.0308,224.7593,0.7284,CH_AW-74.wav
75,perfume,227.8072,228.4758,0.6686,CH_AW-75.wav
76,cigarette,231.005,231.7534,0.7484,CH_AW-76.wav
77,banana,234.9859,235.7293,0.7434,CH_AW-77.wav
78,bone,238.6476,239.2563,0.6087,CH_AW-78.wav
79,egg,241.7905,242.3094,0.5189,CH_AW-79.wav
80,nose,245.2077,245.7216,0.5139,CH_AW-80.wav
